,episode,round,state,action,reward,done,model,environment
124,33,0,0,1.0,,,SARSA,ABC
125,33,1,1,1.0,-1.0,False,SARSA,ABC
126,33,2,2,,10.0,True,SARSA,ABC
127,34,0,0,1.0,,,SARSA,ABC
128,34,1,1,1.0,-1.0,False,SARSA,ABC
129,34,2,2,,10.0,True,SARSA,ABC
130,35,0,0,1.0,,,SARSA,ABC
131,35,1,1,1.0,-1.0,False,SARSA,ABC
132,35,2,2,,10.0,True,SARSA,ABC
133,36,0,0,1.0,,,SARSA,ABC
134,36,1,1,1.0,-1.0,False,SARSA,ABC
135,36,2,2,,10.0,True,SARSA,ABC
136,37,0,0,1.0,,,SARSA,ABC
137,37,1,1,1.0,-1.0,False,SARSA,ABC
138,37,2,2,,10.0,True,SARSA,ABC
139,38,0,0,1.0,,,SARSA,ABC
140,38,1,1,1.0,-1.0,False,SARSA,ABC
141,38,2,2,,10.0,True,SARSA,ABC
142,39,0,0,1.0,,,SARSA,ABC
143,39,1,1,1.0,-1.0,False,SARSA,ABC
144,39,2,2,,10.0,True,SARSA,ABC
145,40,0,0,1.0,,,SARSA,ABC
146,40,1,1,1.0,-1.0,False,SARSA,ABC
147,40,2,2,,10.0,True,SARSA,ABC
148,41,0,0,1.0,,,SARSA,ABC
149,41,1,1,1.0,-1.0,False,SARSA,ABC
150,41,2,2,,10.0,True,SARSA,ABC
151,42,0,0,1.0,,,SARSA,ABC
152,42,1,1,1.0,-1.0,False,SARSA,ABC
153,42,2,2,,10.0,True,SARSA,ABC
154,43,0,0,0.0,,,SARSA,ABC
155,43,1,0,1.0,-1.0,False,SARSA,ABC
156,43,2,0,1.0,-1.0,False,SARSA,ABC
157,43,3,1,1.0,-1.0,False,SARSA,ABC
158,43,4,2,,10.0,True,SARSA,ABC
159,44,0,0,1.0,,,SARSA,ABC
160,44,1,1,1.0,-1.0,False,SARSA,ABC
161,44,2,2,,10.0,True,SARSA,ABC
162,45,0,0,1.0,,,SARSA,ABC
163,45,1,1,1.0,-1.0,False,SARSA,ABC
164,45,2,2,,10.0,True,SARSA,ABC
165,46,0,0,1.0,,,SARSA,ABC
166,46,1,1,1.0,-1.0,False,SARSA,ABC
167,46,2,2,,10.0,True,SARSA,ABC
168,47,0,0,1.0,,,SARSA,ABC
169,47,1,1,0.0,-1.0,False,SARSA,ABC
170,47,2,0,1.0,-1.0,False,SARSA,ABC
171,47,3,1,1.0,-1.0,False,SARSA,ABC
172,47,4,2,,10.0,True,SARSA,ABC
173,48,0,0,1.0,,,SARSA,ABC
174,48,1,1,1.0,-1.0,False,SARSA,ABC
175,48,2,2,,10.0,True,SARSA,ABC
176,49,0,0,1.0,,,SARSA,ABC
177,49,1,1,1.0,-1.0,False,SARSA,ABC
178,49,2,1,1.0,-1.0,False,SARSA,ABC
179,49,3,1,1.0,-1.0,False,SARSA,ABC
180,49,4,2,,10.0,True,SARSA,ABC
181,50,0,0,1.0,,,SARSA,ABC
182,50,1,1,1.0,-1.0,False,SARSA,ABC
183,50,2,2,,10.0,True,SARSA,ABC
184,51,0,0,1.0,,,SARSA,ABC
185,51,1,1,1.0,-1.0,False,SARSA,ABC
186,51,2,2,,10.0,True,SARSA,ABC
187,52,0,0,1.0,,,SARSA,ABC
188,52,1,1,1.0,-1.0,False,SARSA,ABC
189,52,2,2,,10.0,True,SARSA,ABC
190,53,0,0,1.0,,,SARSA,ABC
191,53,1,1,0.0,-1.0,False,SARSA,ABC
192,53,2,0,1.0,-1.0,False,SARSA,ABC
193,53,3,0,1.0,-1.0,False,SARSA,ABC
194,53,4,1,0.0,-1.0,False,SARSA,ABC
195,53,5,0,1.0,-1.0,False,SARSA,ABC
196,53,6,1,1.0,-1.0,False,SARSA,ABC
197,53,7,1,1.0,-1.0,False,SARSA,ABC
198,53,8,2,,10.0,True,SARSA,ABC
199,54,0,0,1.0,,,SARSA,ABC
200,54,1,1,0.0,-1.0,False,SARSA,ABC
201,54,2,0,1.0,-1.0,False,SARSA,ABC
202,54,3,1,1.0,-1.0,False,SARSA,ABC
203,54,4,1,1.0,-1.0,False,SARSA,ABC
204,54,5,2,,10.0,True,SARSA,ABC
205,55,0,0,1.0,,,SARSA,ABC
206,55,1,1,1.0,-1.0,False,SARSA,ABC
207,55,2,2,,10.0,True,SARSA,ABC
208,56,0,0,1.0,,,SARSA,ABC
209,56,1,1,1.0,-1.0,False,SARSA,ABC
210,56,2,2,,10.0,True,SARSA,ABC
211,57,0,0,1.0,,,SARSA,ABC
212,57,1,1,1.0,-1.0,False,SARSA,ABC
213,57,2,2,,10.0,True,SARSA,ABC
214,58,0,0,0.0,,,SARSA,ABC
215,58,1,0,0.0,-1.0,False,SARSA,ABC
216,58,2,0,1.0,-1.0,False,SARSA,ABC
217,58,3,1,1.0,-1.0,False,SARSA,ABC
218,58,4,2,,10.0,True,SARSA,ABC
219,59,0,0,0.0,,,SARSA,ABC
220,59,1,0,1.0,-1.0,False,SARSA,ABC
221,59,2,1,1.0,-1.0,False,SARSA,ABC
222,59,3,2,,10.0,True,SARSA,ABC
223,60,0,0,1.0,,,SARSA,ABC
224,60,1,1,1.0,-1.0,False,SARSA,ABC
225,60,2,2,,10.0,True,SARSA,ABC
226,61,0,0,1.0,,,SARSA,ABC
227,61,1,1,1.0,-1.0,False,SARSA,ABC
228,61,2,2,,10.0,True,SARSA,ABC
229,62,0,0,1.0,,,SARSA,ABC
230,62,1,1,1.0,-1.0,False,SARSA,ABC
231,62,2,2,,10.0,True,SARSA,ABC
232,63,0,0,1.0,,,SARSA,ABC
233,63,1,1,0.0,-1.0,False,SARSA,ABC
234,63,2,0,1.0,-1.0,False,SARSA,ABC
235,63,3,1,1.0,-1.0,False,SARSA,ABC
236,63,4,2,,10.0,True,SARSA,ABC
237,64,0,0,1.0,,,SARSA,ABC
238,64,1,1,1.0,-1.0,False,SARSA,ABC
239,64,2,2,,10.0,True,SARSA,ABC
240,65,0,0,1.0,,,SARSA,ABC
241,65,1,1,1.0,-1.0,False,SARSA,ABC
242,65,2,2,,10.0,True,SARSA,ABC
243,66,0,0,1.0,,,SARSA,ABC
244,66,1,1,1.0,-1.0,False,SARSA,ABC
245,66,2,2,,10.0,True,SARSA,ABC
246,67,0,0,1.0,,,SARSA,ABC
247,67,1,1,1.0,-1.0,False,SARSA,ABC
248,67,2,2,,10.0,True,SARSA,ABC
249,68,0,0,1.0,,,SARSA,ABC
250,68,1,1,1.0,-1.0,False,SARSA,ABC
251,68,2,2,,10.0,True,SARSA,ABC
252,69,0,0,1.0,,,SARSA,ABC
253,69,1,1,0.0,-1.0,False,SARSA,ABC
254,69,2,0,1.0,-1.0,False,SARSA,ABC
255,69,3,1,1.0,-1.0,False,SARSA,ABC
256,69,4,2,,10.0,True,SARSA,ABC
257,70,0,0,1.0,,,SARSA,ABC
258,70,1,1,1.0,-1.0,False,SARSA,ABC
259,70,2,2,,10.0,True,SARSA,ABC
260,71,0,0,1.0,,,SARSA,ABC
261,71,1,1,1.0,-1.0,False,SARSA,ABC
262,71,2,2,,10.0,True,SARSA,ABC
263,72,0,0,1.0,,,SARSA,ABC
264,72,1,1,0.0,-1.0,False,SARSA,ABC
265,72,2,0,1.0,-1.0,False,SARSA,ABC
266,72,3,1,1.0,-1.0,False,SARSA,ABC
267,72,4,2,,10.0,True,SARSA,ABC
268,73,0,0,1.0,,,SARSA,ABC
269,73,1,1,0.0,-1.0,False,SARSA,ABC
270,73,2,0,1.0,-1.0,False,SARSA,ABC
271,73,3,1,1.0,-1.0,False,SARSA,ABC
272,73,4,2,,10.0,True,SARSA,ABC
273,74,0,0,1.0,,,SARSA,ABC
274,74,1,1,1.0,-1.0,False,SARSA,ABC
275,74,2,2,,10.0,True,SARSA,ABC
276,75,0,0,1.0,,,SARSA,ABC
277,75,1,1,1.0,-1.0,False,SARSA,ABC
278,75,2,2,,10.0,True,SARSA,ABC
279,76,0,0,1.0,,,SARSA,ABC
280,76,1,1,1.0,-1.0,False,SARSA,ABC
281,76,2,2,,10.0,True,SARSA,ABC
282,77,0,0,1.0,,,SARSA,ABC
283,77,1,1,1.0,-1.0,False,SARSA,ABC
284,77,2,2,,10.0,True,SARSA,ABC
285,78,0,0,1.0,,,SARSA,ABC
286,78,1,1,1.0,-1.0,False,SARSA,ABC
287,78,2,2,,10.0,True,SARSA,ABC
288,79,0,0,1.0,,,SARSA,ABC
289,79,1,1,1.0,-1.0,False,SARSA,ABC
290,79,2,2,,10.0,True,SARSA,ABC
291,80,0,0,1.0,,,SARSA,ABC
292,80,1,1,1.0,-1.0,False,SARSA,ABC
293,80,2,2,,10.0,True,SARSA,ABC
294,81,0,0,1.0,,,SARSA,ABC
295,81,1,1,1.0,-1.0,False,SARSA,ABC
296,81,2,2,,10.0,True,SARSA,ABC
297,82,0,0,0.0,,,SARSA,ABC
298,82,1,0,1.0,-1.0,False,SARSA,ABC
299,82,2,0,1.0,-1.0,False,SARSA,ABC
300,82,3,1,1.0,-1.0,False,SARSA,ABC
301,82,4,2,,10.0,True,SARSA,ABC
302,83,0,0,1.0,,,SARSA,ABC
303,83,1,1,1.0,-1.0,False,SARSA,ABC
304,83,2,2,,10.0,True,SARSA,ABC
305,84,0,0,1.0,,,SARSA,ABC
306,84,1,1,1.0,-1.0,False,SARSA,ABC
307,84,2,2,,10.0,True,SARSA,ABC
308,85,0,0,1.0,,,SARSA,ABC
309,85,1,1,1.0,-1.0,False,SARSA,ABC
310,85,2,2,,10.0,True,SARSA,ABC
311,86,0,0,1.0,,,SARSA,ABC
312,86,1,1,1.0,-1.0,False,SARSA,ABC
313,86,2,2,,10.0,True,SARSA,ABC
314,87,0,0,1.0,,,SARSA,ABC
315,87,1,1,1.0,-1.0,False,SARSA,ABC
316,87,2,2,,10.0,True,SARSA,ABC
317,88,0,0,1.0,,,SARSA,ABC
318,88,1,1,1.0,-1.0,False,SARSA,ABC
319,88,2,2,,10.0,True,SARSA,ABC
320,89,0,0,1.0,,,SARSA,ABC
321,89,1,1,1.0,-1.0,False,SARSA,ABC
322,89,2,2,,10.0,True,SARSA,ABC
323,90,0,0,1.0,,,SARSA,ABC
324,90,1,1,1.0,-1.0,False,SARSA,ABC
325,90,2,2,,10.0,True,SARSA,ABC
326,91,0,0,1.0,,,SARSA,ABC
327,91,1,1,1.0,-1.0,False,SARSA,ABC
328,91,2,2,,10.0,True,SARSA,ABC
329,92,0,0,1.0,,,SARSA,ABC
330,92,1,1,1.0,-1.0,False,SARSA,ABC
331,92,2,2,,10.0,True,SARSA,ABC
332,93,0,0,1.0,,,SARSA,ABC
333,93,1,0,1.0,-1.0,False,SARSA,ABC
334,93,2,1,1.0,-1.0,False,SARSA,ABC
335,93,3,2,,10.0,True,SARSA,ABC
336,94,0,0,1.0,,,SARSA,ABC
337,94,1,0,0.0,-1.0,False,SARSA,ABC
338,94,2,0,1.0,-1.0,False,SARSA,ABC
339,94,3,1,0.0,-1.0,False,SARSA,ABC
340,94,4,0,1.0,-1.0,False,SARSA,ABC
341,94,5,1,0.0,-1.0,False,SARSA,ABC
342,94,6,0,1.0,-1.0,False,SARSA,ABC
343,94,7,1,1.0,-1.0,False,SARSA,ABC
344,94,8,1,1.0,-1.0,False,SARSA,ABC
345,94,9,2,,10.0,True,SARSA,ABC
346,95,0,0,1.0,,,SARSA,ABC
347,95,1,1,1.0,-1.0,False,SARSA,ABC
348,95,2,2,,10.0,True,SARSA,ABC
349,96,0,0,1.0,,,SARSA,ABC
350,96,1,1,1.0,-1.0,False,SARSA,ABC
351,96,2,1,1.0,-1.0,False,SARSA,ABC
352,96,3,2,,10.0,True,SARSA,ABC
353,97,0,0,1.0,,,SARSA,ABC
354,97,1,1,1.0,-1.0,False,SARSA,ABC
355,97,2,2,,10.0,True,SARSA,ABC
356,98,0,0,1.0,,,SARSA,ABC
357,98,1,1,1.0,-1.0,False,SARSA,ABC
358,98,2,1,1.0,-1.0,False,SARSA,ABC
359,98,3,2,,10.0,True,SARSA,ABC
360,99,0,0,1.0,,,SARSA,ABC
361,99,1,1,1.0,-1.0,False,SARSA,ABC
362,99,2,2,,10.0,True,SARSA,ABC
363,100,0,0,1.0,,,SARSA,ABC
364,100,1,1,0.0,-1.0,False,SARSA,ABC
365,100,2,0,1.0,-1.0,False,SARSA,ABC
366,100,3,1,1.0,-1.0,False,SARSA,ABC
367,100,4,2,,10.0,True,SARSA,ABC
368,101,0,0,1.0,,,SARSA,ABC
369,101,1,1,0.0,-1.0,False,SARSA,ABC
370,101,2,0,1.0,-1.0,False,SARSA,ABC
371,101,3,0,1.0,-1.0,False,SARSA,ABC
372,101,4,0,1.0,-1.0,False,SARSA,ABC
373,101,5,1,1.0,-1.0,False,SARSA,ABC
374,101,6,2,,10.0,True,SARSA,ABC
375,102,0,0,1.0,,,SARSA,ABC
376,102,1,1,1.0,-1.0,False,SARSA,ABC
377,102,2,1,1.0,-1.0,False,SARSA,ABC
378,102,3,2,,10.0,True,SARSA,ABC
379,103,0,0,1.0,,,SARSA,ABC
380,103,1,1,1.0,-1.0,False,SARSA,ABC
381,103,2,2,,10.0,True,SARSA,ABC
382,104,0,0,1.0,,,SARSA,ABC
383,104,1,1,1.0,-1.0,False,SARSA,ABC
384,104,2,2,,10.0,True,SARSA,ABC
385,105,0,0,1.0,,,SARSA,ABC
386,105,1,1,1.0,-1.0,False,SARSA,ABC
387,105,2,1,1.0,-1.0,False,SARSA,ABC
388,105,3,2,,10.0,True,SARSA,ABC
389,106,0,0,1.0,,,SARSA,ABC
390,106,1,1,1.0,-1.0,False,SARSA,ABC
391,106,2,2,,10.0,True,SARSA,ABC
392,107,0,0,1.0,,,SARSA,ABC
393,107,1,1,1.0,-1.0,False,SARSA,ABC
394,107,2,2,,10.0,True,SARSA,ABC
395,108,0,0,1.0,,,SARSA,ABC
396,108,1,1,1.0,-1.0,False,SARSA,ABC
397,108,2,2,,10.0,True,SARSA,ABC
398,109,0,0,1.0,,,SARSA,ABC
399,109,1,1,1.0,-1.0,False,SARSA,ABC
400,109,2,1,1.0,-1.0,False,SARSA,ABC
401,109,3,1,1.0,-1.0,False,SARSA,ABC
402,109,4,2,,10.0,True,SARSA,ABC
403,110,0,0,1.0,,,SARSA,ABC
404,110,1,1,1.0,-1.0,False,SARSA,ABC
405,110,2,2,,10.0,True,SARSA,ABC
406,111,0,0,1.0,,,SARSA,ABC
407,111,1,1,1.0,-1.0,False,SARSA,ABC
408,111,2,2,,10.0,True,SARSA,ABC
409,112,0,0,1.0,,,SARSA,ABC
410,112,1,1,1.0,-1.0,False,SARSA,ABC
411,112,2,1,1.0,-1.0,False,SARSA,ABC
412,112,3,2,,10.0,True,SARSA,ABC
413,113,0,0,1.0,,,SARSA,ABC
414,113,1,1,1.0,-1.0,False,SARSA,ABC
415,113,2,2,,10.0,True,SARSA,ABC
416,114,0,0,1.0,,,SARSA,ABC
417,114,1,1,1.0,-1.0,False,SARSA,ABC
418,114,2,2,,10.0,True,SARSA,ABC
419,115,0,0,1.0,,,SARSA,ABC
420,115,1,1,1.0,-1.0,False,SARSA,ABC
421,115,2,2,,10.0,True,SARSA,ABC
422,116,0,0,1.0,,,SARSA,ABC
423,116,1,1,1.0,-1.0,False,SARSA,ABC
424,116,2,2,,10.0,True,SARSA,ABC
425,117,0,0,1.0,,,SARSA,ABC
426,117,1,1,0.0,-1.0,False,SARSA,ABC
427,117,2,0,1.0,-1.0,False,SARSA,ABC
428,117,3,1,1.0,-1.0,False,SARSA,ABC
429,117,4,2,,10.0,True,SARSA,ABC
430,118,0,0,1.0,,,SARSA,ABC
431,118,1,1,1.0,-1.0,False,SARSA,ABC
432,118,2,2,,10.0,True,SARSA,ABC
433,119,0,0,1.0,,,SARSA,ABC
434,119,1,1,1.0,-1.0,False,SARSA,ABC
435,119,2,2,,10.0,True,SARSA,ABC
436,120,0,0,1.0,,,SARSA,ABC
437,120,1,1,1.0,-1.0,False,SARSA,ABC
438,120,2,2,,10.0,True,SARSA,ABC
439,121,0,0,1.0,,,SARSA,ABC
440,121,1,1,1.0,-1.0,False,SARSA,ABC
441,121,2,2,,10.0,True,SARSA,ABC
442,122,0,0,1.0,,,SARSA,ABC
443,122,1,1,1.0,-1.0,False,SARSA,ABC
444,122,2,2,,10.0,True,SARSA,ABC
445,123,0,0,1.0,,,SARSA,ABC
446,123,1,1,1.0,-1.0,False,SARSA,ABC
447,123,2,2,,10.0,True,SARSA,ABC
448,124,0,0,1.0,,,SARSA,ABC
449,124,1,1,1.0,-1.0,False,SARSA,ABC
450,124,2,2,,10.0,True,SARSA,ABC
451,125,0,0,1.0,,,SARSA,ABC
452,125,1,1,1.0,-1.0,False,SARSA,ABC
453,125,2,1,1.0,-1.0,False,SARSA,ABC
454,125,3,2,,10.0,True,SARSA,ABC
455,126,0,0,1.0,,,SARSA,ABC
456,126,1,1,1.0,-1.0,False,SARSA,ABC
457,126,2,2,,10.0,True,SARSA,ABC
458,127,0,0,1.0,,,SARSA,ABC
459,127,1,0,1.0,-1.0,False,SARSA,ABC
460,127,2,1,1.0,-1.0,False,SARSA,ABC
461,127,3,2,,10.0,True,SARSA,ABC
462,128,0,0,1.0,,,SARSA,ABC
463,128,1,1,1.0,-1.0,False,SARSA,ABC
464,128,2,2,,10.0,True,SARSA,ABC
465,129,0,0,1.0,,,SARSA,ABC
466,129,1,1,1.0,-1.0,False,SARSA,ABC
467,129,2,2,,10.0,True,SARSA,ABC
468,130,0,0,0.0,,,SARSA,ABC
