,episode,round,state,action,reward,done,model,environment
129,38,1,1,1.0,-1.0,False,Q_learning,ABC
130,38,2,2,,10.0,True,Q_learning,ABC
131,39,0,0,1.0,,,Q_learning,ABC
132,39,1,1,1.0,-1.0,False,Q_learning,ABC
133,39,2,2,,10.0,True,Q_learning,ABC
134,40,0,0,1.0,,,Q_learning,ABC
135,40,1,1,1.0,-1.0,False,Q_learning,ABC
136,40,2,2,,10.0,True,Q_learning,ABC
137,41,0,0,1.0,,,Q_learning,ABC
138,41,1,1,1.0,-1.0,False,Q_learning,ABC
139,41,2,2,,10.0,True,Q_learning,ABC
140,42,0,0,1.0,,,Q_learning,ABC
141,42,1,1,1.0,-1.0,False,Q_learning,ABC
142,42,2,2,,10.0,True,Q_learning,ABC
143,43,0,0,1.0,,,Q_learning,ABC
144,43,1,1,1.0,-1.0,False,Q_learning,ABC
145,43,2,2,,10.0,True,Q_learning,ABC
146,44,0,0,1.0,,,Q_learning,ABC
147,44,1,1,1.0,-1.0,False,Q_learning,ABC
148,44,2,2,,10.0,True,Q_learning,ABC
149,45,0,0,1.0,,,Q_learning,ABC
150,45,1,0,1.0,-1.0,False,Q_learning,ABC
151,45,2,1,1.0,-1.0,False,Q_learning,ABC
152,45,3,2,,10.0,True,Q_learning,ABC
153,46,0,0,1.0,,,Q_learning,ABC
154,46,1,1,1.0,-1.0,False,Q_learning,ABC
155,46,2,2,,10.0,True,Q_learning,ABC
156,47,0,0,1.0,,,Q_learning,ABC
157,47,1,1,1.0,-1.0,False,Q_learning,ABC
158,47,2,2,,10.0,True,Q_learning,ABC
159,48,0,0,1.0,,,Q_learning,ABC
160,48,1,1,1.0,-1.0,False,Q_learning,ABC
161,48,2,1,1.0,-1.0,False,Q_learning,ABC
162,48,3,2,,10.0,True,Q_learning,ABC
163,49,0,0,1.0,,,Q_learning,ABC
164,49,1,1,1.0,-1.0,False,Q_learning,ABC
165,49,2,2,,10.0,True,Q_learning,ABC
166,50,0,0,1.0,,,Q_learning,ABC
167,50,1,1,1.0,-1.0,False,Q_learning,ABC
168,50,2,2,,10.0,True,Q_learning,ABC
